Epoch: 0   Train Loss: 2.828944220834849   Valid Loss: 3.074337191051907

Epoch: 1   Train Loss: 2.8170468369308783   Valid Loss: 3.062616480721368

Epoch: 2   Train Loss: 2.80458571959515   Valid Loss: 3.04475900861952

Epoch: 3   Train Loss: 2.790326940770052   Valid Loss: 3.0311526192559137

Epoch: 4   Train Loss: 2.774558451710915   Valid Loss: 3.0105881690979004

Epoch: 5   Train Loss: 2.756714387815826   Valid Loss: 2.988251739078098

Epoch: 6   Train Loss: 2.736457274884594   Valid Loss: 2.968333747651842

Epoch: 7   Train Loss: 2.715007402458969   Valid Loss: 2.9448315832349987

Epoch: 8   Train Loss: 2.691619654091037   Valid Loss: 2.9119909604390464

Epoch: 9   Train Loss: 2.667519909994943   Valid Loss: 2.893132103814019

Epoch: 10   Train Loss: 2.6433210032326833   Valid Loss: 2.8693140082889133

Epoch: 11   Train Loss: 2.6184764297641054   Valid Loss: 2.831550465689765

Epoch: 12   Train Loss: 2.5930871768873565   Valid Loss: 2.8116108576456704

Epoch: 13   Train Loss: 2.5685759612492154   Valid Loss: 2.782525830798679

Epoch: 14   Train Loss: 2.5437317283786074   Valid Loss: 2.756433884302775

Epoch: 15   Train Loss: 2.520011926183895   Valid Loss: 2.733024835586548

Epoch: 16   Train Loss: 2.4959584644862582   Valid Loss: 2.7019054094950357

Epoch: 17   Train Loss: 2.472851884608366   Valid Loss: 2.677928500705295

Epoch: 18   Train Loss: 2.4516769866554107   Valid Loss: 2.6556366284688315

Epoch: 19   Train Loss: 2.4288849976598   Valid Loss: 2.6320930322011313

Epoch: 20   Train Loss: 2.40850559546023   Valid Loss: 2.603124909930759

Epoch: 21   Train Loss: 2.3882023217726727   Valid Loss: 2.5939114093780518

Epoch: 22   Train Loss: 2.368723606576725   Valid Loss: 2.5609419610765247

Epoch: 23   Train Loss: 2.348106880577243   Valid Loss: 2.546809434890747

Epoch: 24   Train Loss: 2.32970464472868   Valid Loss: 2.527734120686849

Epoch: 25   Train Loss: 2.312438351767404   Valid Loss: 2.505688269933065

Epoch: 26   Train Loss: 2.292955155275306   Valid Loss: 2.4874956607818604

Epoch: 27   Train Loss: 2.2763773908420486   Valid Loss: 2.4593082004123263

Epoch: 28   Train Loss: 2.2590644505559183   Valid Loss: 2.443194177415636

Epoch: 29   Train Loss: 2.24211184345946   Valid Loss: 2.4291897879706488

Epoch: 30   Train Loss: 2.226155641127606   Valid Loss: 2.4092446168263755

Epoch: 31   Train Loss: 2.2107684320333054   Valid Loss: 2.392952733569675

Epoch: 32   Train Loss: 2.1958303986763466   Valid Loss: 2.3796457979414196

Epoch: 33   Train Loss: 2.1811378440078424   Valid Loss: 2.358083142174615

Epoch: 34   Train Loss: 2.1639429403811086   Valid Loss: 2.3462208376990423

Epoch: 35   Train Loss: 2.1497537359899406   Valid Loss: 2.330709589852227

Epoch: 36   Train Loss: 2.137771509131607   Valid Loss: 2.3133449819352894

Epoch: 37   Train Loss: 2.124181397107183   Valid Loss: 2.2943500412835016

Epoch: 38   Train Loss: 2.1106124264853343   Valid Loss: 2.2947502268685236

Epoch: 39   Train Loss: 2.0975727305120353   Valid Loss: 2.2690883212619357

Epoch: 40   Train Loss: 2.0833742594232363   Valid Loss: 2.2503640121883817

Epoch: 41   Train Loss: 2.0729552823670057   Valid Loss: 2.239701271057129

Epoch: 42   Train Loss: 2.0610877664721743   Valid Loss: 2.228372428152296

Epoch: 43   Train Loss: 2.0518165972768045   Valid Loss: 2.22432721985711

Epoch: 44   Train Loss: 2.03888007572719   Valid Loss: 2.2056651512781777

Epoch: 45   Train Loss: 2.028198329769835   Valid Loss: 2.193014661471049

Epoch: 46   Train Loss: 2.017440538017117   Valid Loss: 2.18342297606998

Epoch: 47   Train Loss: 2.0066882177275054   Valid Loss: 2.172473496860928

Epoch: 48   Train Loss: 1.994954836611845   Valid Loss: 2.1623931990729437

Epoch: 49   Train Loss: 1.9857310397284371   Valid Loss: 2.1522597471872964

Epoch: 50   Train Loss: 1.9762239699461022   Valid Loss: 2.1357915533913507

Epoch: 51   Train Loss: 1.9670903123154933   Valid Loss: 2.127126614252726

Epoch: 52   Train Loss: 1.9575862106011839   Valid Loss: 2.116132047441271

Epoch: 53   Train Loss: 1.9513261293878361   Valid Loss: 2.108033921983507

Epoch: 54   Train Loss: 1.939074706058113   Valid Loss: 2.0988962252934775

Epoch: 55   Train Loss: 1.9313619793677816   Valid Loss: 2.0878149271011353

Epoch: 56   Train Loss: 1.9218794034451854   Valid Loss: 2.087606257862515

Epoch: 57   Train Loss: 1.9156582769082517   Valid Loss: 2.06883086098565

Epoch: 58   Train Loss: 1.9090523525160186   Valid Loss: 2.063336319393582

Epoch: 59   Train Loss: 1.8994399090202487   Valid Loss: 2.056536700990465

Epoch: 60   Train Loss: 1.892180515795338   Valid Loss: 2.046148829989963

Epoch: 61   Train Loss: 1.885099016890234   Valid Loss: 2.0373288525475397

Epoch: 62   Train Loss: 1.8773474595984634   Valid Loss: 2.0263668298721313

Epoch: 63   Train Loss: 1.8695976125950715   Valid Loss: 2.0218119621276855

Epoch: 64   Train Loss: 1.8632716232416582   Valid Loss: 2.0258371035257974

Epoch: 65   Train Loss: 1.8559558951124853   Valid Loss: 2.0077850686179266

Epoch: 66   Train Loss: 1.8473038770714585   Valid Loss: 1.9969189961751301

