Epoch: 0   Train Loss: 2.807142836706979   Valid Loss: 3.0389778084225125

Epoch: 1   Train Loss: 2.7811426532511807   Valid Loss: 3.019189384248522

Epoch: 2   Train Loss: 2.761290662142695   Valid Loss: 2.9943213727739124

Epoch: 3   Train Loss: 2.741466079439436   Valid Loss: 2.9731954203711615

Epoch: 4   Train Loss: 2.721648255173041   Valid Loss: 2.9520055982801647

Epoch: 5   Train Loss: 2.700963176026636   Valid Loss: 2.932911846372816

Epoch: 6   Train Loss: 2.6800824428091246   Valid Loss: 2.9009626706441245

Epoch: 7   Train Loss: 2.65919456676561   Valid Loss: 2.880251831478543

Epoch: 8   Train Loss: 2.6378468542682882   Valid Loss: 2.875897248586019

Epoch: 9   Train Loss: 2.615929739815848   Valid Loss: 2.832469834221734

Epoch: 10   Train Loss: 2.594435920520705   Valid Loss: 2.818728976779514

Epoch: 11   Train Loss: 2.5723207337515697   Valid Loss: 2.784325785107083

Epoch: 12   Train Loss: 2.5499670797464797   Valid Loss: 2.760079436832004

Epoch: 13   Train Loss: 2.5280922432335053   Valid Loss: 2.747413052452935

Epoch: 14   Train Loss: 2.5055043697357178   Valid Loss: 2.7152743339538574

Epoch: 15   Train Loss: 2.483154160635812   Valid Loss: 2.6949506600697837

Epoch: 16   Train Loss: 2.4599947053558973   Valid Loss: 2.668493562274509

Epoch: 17   Train Loss: 2.4382328013984527   Valid Loss: 2.644057591756185

Epoch: 18   Train Loss: 2.414068504255645   Valid Loss: 2.6236095428466797

Epoch: 19   Train Loss: 2.393085460273587   Valid Loss: 2.6002652645111084

Epoch: 20   Train Loss: 2.370287934128119   Valid Loss: 2.5724638832939997

Epoch: 21   Train Loss: 2.349397576585108   Valid Loss: 2.5597741074032254

Epoch: 22   Train Loss: 2.328007678596341   Valid Loss: 2.531210740407308

Epoch: 23   Train Loss: 2.3082484177180698   Valid Loss: 2.5142645041147866

Epoch: 24   Train Loss: 2.2894057449029415   Valid Loss: 2.4930590523613825

Epoch: 25   Train Loss: 2.271055182632135   Valid Loss: 2.4644995000627308

Epoch: 26   Train Loss: 2.2533915578102577   Valid Loss: 2.4512032667795816

Epoch: 27   Train Loss: 2.236009033358827   Valid Loss: 2.4308385848999023

Epoch: 28   Train Loss: 2.2205899588915767   Valid Loss: 2.426230139202542

Epoch: 29   Train Loss: 2.203704430132496   Valid Loss: 2.395828750398424

Epoch: 30   Train Loss: 2.1885261243703416   Valid Loss: 2.374680995941162

Epoch: 31   Train Loss: 2.1746459007263184   Valid Loss: 2.3638888465033636

Epoch: 32   Train Loss: 2.1630488561124217   Valid Loss: 2.3427710798051624

Epoch: 33   Train Loss: 2.1476666538082823   Valid Loss: 2.333545684814453

Epoch: 34   Train Loss: 2.1345941582504584   Valid Loss: 2.3175564077165394

Epoch: 35   Train Loss: 2.124156139334854   Valid Loss: 2.306878301832411

Epoch: 36   Train Loss: 2.110251694309468   Valid Loss: 2.2980248398251004

Epoch: 37   Train Loss: 2.0986034091638057   Valid Loss: 2.2802628013822765

Epoch: 38   Train Loss: 2.0874133401987502   Valid Loss: 2.2730650239520602

Epoch: 39   Train Loss: 2.0800737166891294   Valid Loss: 2.2609207365247936

Epoch: 40   Train Loss: 2.0693879930340513   Valid Loss: 2.249362932311164

Epoch: 41   Train Loss: 2.056743485586984   Valid Loss: 2.233457777235243

Epoch: 42   Train Loss: 2.0491097362674013   Valid Loss: 2.2279017633861966

Epoch: 43   Train Loss: 2.0382566452026367   Valid Loss: 2.2234314812554254

Epoch: 44   Train Loss: 2.028826027500386   Valid Loss: 2.20609622531467

Epoch: 45   Train Loss: 2.0216498983149624   Valid Loss: 2.1985466480255127

Epoch: 46   Train Loss: 2.013306590975547   Valid Loss: 2.1933026048872204

Epoch: 47   Train Loss: 2.0041334580401986   Valid Loss: 2.1881051195992365

Epoch: 48   Train Loss: 1.9966308413719644   Valid Loss: 2.1703713999854193

Epoch: 49   Train Loss: 1.988788687452978   Valid Loss: 2.1664585404925876

Epoch: 50   Train Loss: 1.9793395339226236   Valid Loss: 2.1522412300109863

Epoch: 51   Train Loss: 1.973783208399403   Valid Loss: 2.1507702271143594

Epoch: 52   Train Loss: 1.9666024592457985   Valid Loss: 2.1368105676439075

Epoch: 53   Train Loss: 1.959411046942886   Valid Loss: 2.135443607966105

Epoch: 54   Train Loss: 1.9553210978605309   Valid Loss: 2.131295601526896

Epoch: 55   Train Loss: 1.9470588260767412   Valid Loss: 2.119821071624756

Epoch: 56   Train Loss: 1.9358133296577298   Valid Loss: 2.108420067363315

Epoch: 57   Train Loss: 1.933966588000862   Valid Loss: 2.1043127377827964

Epoch: 58   Train Loss: 1.9260462522506714   Valid Loss: 2.1043241951200695

Epoch: 59   Train Loss: 1.9198867301551663   Valid Loss: 2.090789728694492

Epoch: 60   Train Loss: 1.9156952585492815   Valid Loss: 2.0874747302797108

Epoch: 61   Train Loss: 1.9104836327689034   Valid Loss: 2.0775200261010065

Epoch: 62   Train Loss: 1.901484652441375   Valid Loss: 2.0765022569232516

Epoch: 63   Train Loss: 1.89770664244282   Valid Loss: 2.067555162641737

Epoch: 64   Train Loss: 1.8964035024448318   Valid Loss: 2.0574651691648693

Epoch: 65   Train Loss: 1.8857936275248626   Valid Loss: 2.0534509817759194

Epoch: 66   Train Loss: 1.8811450807415708   Valid Loss: 2.0477732949786716

Epoch: 67   Train Loss: 1.8736249549048287   Valid Loss: 2.0404602421654596

Epoch: 68   Train Loss: 1.8694962433406286   Valid Loss: 2.0366073581907482

Epoch: 69   Train Loss: 1.8660912124478086   Valid Loss: 2.0290251440472074

